dataset,config,judge,CAC_mean,CAC_std,EPC_mean,EPC_std,AR_mean,AR_std,TRA_mean,TRA_std,ACQ_mean,ACQ_std,overall_mean,overall_std,n
psy_insight,S3,gpt,3.225,0.769,3.925,0.654,2.975,0.638,2.962,0.619,2.85,0.609,3.188,0.603,20
psy_insight,S3,qwen,1.375,0.604,1.662,0.919,1.238,0.44,1.325,0.545,1.188,0.352,1.358,0.532,20
psydial,S1,claude,2.562,0.458,2.65,0.745,2.612,0.417,2.925,0.335,2.7,0.677,2.69,0.451,20
psydial,S1,gemini,1.825,0.568,2.6,1.231,1.75,0.639,2.15,0.462,1.325,0.335,1.93,0.517,20
psydial,S1,gpt,3.0,0.292,3.325,0.654,2.962,0.284,3.138,0.409,2.662,0.272,3.018,0.304,20
psydial,S1,qwen,1.819,0.496,1.825,0.803,1.669,0.414,1.625,0.401,1.312,0.333,1.65,0.432,20
psydial,S2,claude,2.675,0.467,2.838,0.475,2.725,0.413,2.875,0.275,2.725,0.525,2.768,0.394,20
psydial,S2,gemini,1.9,0.576,2.425,0.936,1.738,0.547,2.025,0.55,1.35,0.328,1.888,0.411,20
psydial,S2,gpt,2.8,0.288,3.412,0.337,2.788,0.272,3.038,0.272,2.638,0.275,2.935,0.229,20
psydial,S2,qwen,2.106,0.512,2.512,0.726,2.025,0.527,2.069,0.522,1.769,0.535,2.096,0.479,20
psydial,S3,claude,2.5,0.459,2.625,0.686,2.5,0.397,2.9,0.262,2.4,0.503,2.585,0.399,20
psydial,S3,gemini,2.0,0.628,2.975,1.391,1.775,0.573,2.325,0.545,1.475,0.55,2.11,0.654,20
psydial,S3,gpt,3.0,0.324,3.462,0.608,2.888,0.263,3.088,0.337,2.625,0.263,3.012,0.296,20
psydial,S3,qwen,1.738,0.582,1.9,0.901,1.6,0.509,1.612,0.516,1.325,0.381,1.635,0.518,20
simpsydial,S1,claude,2.912,0.272,3.338,0.527,2.938,0.179,3.275,0.255,3.138,0.376,3.12,0.226,20
simpsydial,S1,gemini,2.65,0.763,3.875,1.075,2.55,0.647,3.075,0.634,2.175,0.568,2.865,0.656,20
simpsydial,S1,gpt,3.175,0.245,3.925,0.305,3.1,0.188,3.125,0.19,2.975,0.18,3.26,0.159,20
simpsydial,S1,qwen,2.5,0.633,3.0,0.932,2.438,0.486,2.438,0.486,2.088,0.475,2.492,0.511,20
simpsydial,S2,claude,2.725,0.472,3.112,0.401,2.775,0.242,2.988,0.128,2.625,0.433,2.845,0.224,20
simpsydial,S2,gemini,2.662,0.68,3.775,0.786,2.6,0.685,3.138,0.547,2.025,0.413,2.84,0.546,20
simpsydial,S2,gpt,3.15,0.274,3.95,0.386,3.012,0.099,3.1,0.15,2.862,0.206,3.215,0.151,20
simpsydial,S2,qwen,2.825,0.325,3.238,0.516,2.7,0.288,2.65,0.297,2.55,0.41,2.792,0.323,20
simpsydial,S3,claude,2.825,0.245,3.412,0.424,2.838,0.233,3.112,0.206,2.838,0.515,3.005,0.244,20
simpsydial,S3,gemini,3.125,0.741,4.25,0.698,3.075,0.799,3.5,0.487,2.3,0.41,3.25,0.541,20
simpsydial,S3,gpt,3.3,0.299,3.925,0.373,3.038,0.122,3.1,0.188,3.062,0.179,3.285,0.167,20
simpsydial,S3,qwen,2.85,0.455,3.262,0.793,2.706,0.328,2.569,0.413,2.219,0.409,2.721,0.393,20
smile,S1,claude,1.921,0.479,2.263,0.752,1.921,0.479,2.316,0.38,2.079,0.507,2.1,0.453,19
smile,S1,gemini,1.184,0.299,1.632,0.879,1.184,0.299,1.237,0.386,1.395,0.394,1.326,0.391,19
smile,S1,gpt,2.632,0.574,2.868,0.756,2.487,0.549,2.632,0.503,2.632,0.367,2.65,0.496,19
smile,S1,qwen,1.276,0.52,1.237,0.51,1.276,0.506,1.316,0.533,1.395,0.567,1.3,0.481,19
smile,S2,claude,1.868,0.523,2.026,0.754,1.763,0.482,2.053,0.438,1.842,0.336,1.911,0.408,19
smile,S2,gemini,1.289,0.509,1.526,0.735,1.263,0.51,1.342,0.473,1.263,0.386,1.337,0.468,19
