dataset,judge,pair,n,CAC_meandiff,EPC_meandiff,AR_meandiff,TRA_meandiff,ACQ_meandiff,overall_meandiff,overall_absdiff,overall_wilcoxon_p
simpsydial,claude,S1-S3,20,0.0875,-0.075,0.1,0.1625,0.3,0.115,0.21,0.0344
simpsydial,claude,S2-S3,20,-0.1,-0.3,-0.0625,-0.125,-0.2125,-0.16,0.245,0.0172
simpsydial,claude,S1-S2,20,0.1875,0.225,0.1625,0.2875,0.5125,0.275,0.345,0.0027
simpsydial,gemini,S1-S3,20,-0.475,-0.375,-0.525,-0.425,-0.125,-0.385,0.445,0.0014
simpsydial,gemini,S2-S3,20,-0.4625,-0.475,-0.475,-0.3625,-0.275,-0.41,0.44,0.0009
simpsydial,gemini,S1-S2,20,-0.0125,0.1,-0.05,-0.0625,0.15,0.025,0.385,0.872
simpsydial,gpt,S1-S3,20,-0.125,0.0,0.0625,0.025,-0.0875,-0.025,0.16,0.9793
simpsydial,gpt,S2-S3,20,-0.15,0.025,-0.025,0.0,-0.2,-0.07,0.155,0.1538
simpsydial,gpt,S1-S2,20,0.025,-0.025,0.0875,0.025,0.1125,0.045,0.13,0.2668
simpsydial,qwen,S1-S3,20,-0.35,-0.2625,-0.2688,-0.1312,-0.1312,-0.2287,0.4587,0.0645
simpsydial,qwen,S2-S3,20,-0.025,-0.025,-0.0062,0.0812,0.3312,0.0713,0.2912,0.2244
simpsydial,qwen,S1-S2,20,-0.325,-0.2375,-0.2625,-0.2125,-0.4625,-0.3,0.475,0.0229
smile,claude,S1-S3,19,0.1316,0.1842,0.1053,0.2105,0.2368,0.1737,0.2579,0.0114
smile,claude,S2-S3,19,0.0789,-0.0526,-0.0526,-0.0526,0.0,-0.0158,0.2263,0.6691
smile,claude,S1-S2,19,0.0526,0.2368,0.1579,0.2632,0.2368,0.1895,0.2421,0.006
smile,gemini,S1-S3,19,-0.1579,-0.1316,-0.1316,-0.1579,0.1579,-0.0842,0.1895,0.0728
smile,gemini,S2-S3,19,-0.0526,-0.2368,-0.0526,-0.0526,0.0263,-0.0737,0.1684,0.5509
smile,gemini,S1-S2,19,-0.1053,0.1053,-0.0789,-0.1053,0.1316,-0.0105,0.2316,0.7794
smile,gpt,S1-S3,19,0.0,0.0,0.0526,-0.0132,0.0526,0.0184,0.1605,0.4211
smile,gpt,S2-S3,19,-0.1447,-0.0789,-0.0395,-0.0263,-0.1579,-0.0895,0.2,0.1354
smile,gpt,S1-S2,19,0.1447,0.0789,0.0921,0.0132,0.2105,0.1079,0.1553,0.0354
smile,qwen,S1-S3,19,0.1053,0.1053,0.1447,0.1974,0.2105,0.1526,0.3474,0.171
smile,qwen,S2-S3,19,0.3947,0.3421,0.4474,0.3947,0.3421,0.3842,0.3947,0.0015
smile,qwen,S1-S2,19,-0.2895,-0.2368,-0.3026,-0.1974,-0.1316,-0.2316,0.5,0.047
soulchat,claude,S1-S3,20,0.125,0.25,0.1,0.175,0.15,0.16,0.29,0.0572
soulchat,claude,S2-S3,20,0.025,0.125,-0.025,0.025,-0.125,0.005,0.135,0.801
soulchat,claude,S1-S2,20,0.1,0.125,0.125,0.15,0.275,0.155,0.235,0.0277
soulchat,gemini,S1-S3,20,-0.275,-0.4,-0.275,-0.225,-0.05,-0.245,0.375,0.0206
soulchat,gemini,S2-S3,20,-0.3,-0.375,-0.275,-0.275,-0.25,-0.295,0.365,0.0028
soulchat,gemini,S1-S2,20,0.025,-0.025,0.0,0.05,0.2,0.05,0.3,0.5004
soulchat,gpt,S1-S3,20,-0.075,-0.075,-0.05,-0.0125,0.0625,-0.03,0.17,0.4566
soulchat,gpt,S2-S3,20,-0.1,0.1,0.125,0.0625,-0.025,0.0325,0.1175,0.4818
soulchat,gpt,S1-S2,20,0.025,-0.175,-0.175,-0.075,0.0875,-0.0625,0.2175,0.1814
soulchat,qwen,S1-S3,20,0.0,-0.1125,0.0125,-0.05,-0.15,-0.06,0.485,0.8879
soulchat,qwen,S2-S3,20,0.4,0.575,0.4,0.3375,0.4,0.4225,0.5175,0.0033
soulchat,qwen,S1-S2,20,-0.4,-0.6875,-0.3875,-0.3875,-0.55,-0.4825,0.7525,0.0144
