y,n,R2,b_log_tokens,b_fully-synthetic_vs_real,b_semi-real_vs_real,b_semi-synthetic_vs_real
dimA_overall,2111,0.258,0.055,-0.537,-0.895,-1.289
dimB_total3,2111,0.316,0.287,0.539,0.295,0.243
