y,n,R2,b_log_tokens,b_semi-real_vs_real,b_semi-synthetic_vs_real,b_fully-synthetic_vs_real
dimA_overall,2111,0.18,-0.019,0.218,-0.427,0.387
dimB_total3,2111,0.312,0.305,-0.186,-0.038,0.237
